Maturity,Currency,Nominalincurrency,EURequivalent
20/01/2035,EUR,"2000000000
, , ,","2000000000
, , ,"
03/04/2040,EUR,"1000000000
, , ,","1000000000
, , ,"
30/09/2030,EUR,"1500000000
, , ,","1500000000
, , ,"
16/01/2030,USD,"1000000000
, , ,","970873786
, ,"
22/10/2028,GBP,"300000000
, ,","358980495
, ,"
