Assets,,,
Inthousandsofeuros Notes 30Jun25 31Dec24 Change,,,
"Cash due from central banks
,
Financialassetsatfairvaluethroughprofitorloss 1
Hedgingderivatives 2
Financialassetsatfairvaluethroughothercomprehensiveincome 3
Debtsecuritiesatamortisedcost 5
Financialassetsatamortisedcost
Loansandreceivablesduefromcreditinstitutionsandequivalentat
5
amortisedcost
On-demand
Atmaturity
Loansandreceivablesduefromcustomersatamortisedcost 5
Otherloanstocustomers
Ofwhichcalibrationofthereserveaccount
Revaluation differences on interest rate-hedged portfolio
Currenttaxassets
Deferredtaxassets
Accrualsandothermiscellaneousassets 7
Accruals
Otherassets
Equitystakesincompaniesaccountedforbytheequitymethod 20
Fixed assets property, plant and equipment 8",,"1529779
, ,
3868930
, ,
2586028
, ,
3434606
, ,
4031971
, ,
53009695
, ,
12637006
, ,
932054
,
11704952
, ,
40372689
, ,
40372689
, ,
(1047780)
, ,
14045
,
8398
,
27419
,
3466979
, ,
96148
,
3370831
, ,
158014
,
902952
,","863504 666274
, ,
4739783 (870853)
, , ,
3341422 (755394)
, , ,
2273869 1160737
, , , ,
3148432 883539
, , ,
53772227 (762531)
, , ,
13303340 (666334)
, , ,
1213880 (281826)
, , ,
12089460 (384508)
, , ,
40468886 (96198)
, , ,
40468886 (96198)
, , ,
(930187) (117592)
, ,
45209 (31164)
, ,
5966 2432
, ,
27513 (93)
,
2907962 559017
, , ,
53516 42632
, ,
2854445 516386
, , ,
160320 (2305)
, ,
858161 44791
, ,"
Intangibleassets 8,,"190124
,","182597 7527
, ,"
TOTALASSETS,,"73228942
, ,","72326964 901978
, , ,"
