**Assets**
_In thousands of euros_<br>**Notes**,**30 Jun 25**<br>**31 Dec 24**<br>**Change**
"Cash, due from central banks<br>Financial assets at fair value through profit or loss<br>1<br>Hedging derivatives<br>2<br>Financial assets at fair value through other comprehensive income<br>3<br>Debt securities at amortised cost<br>5<br>Financial assets at amortised cost<br>Loans and receivables due from credit institutions and equivalent at<br>amortised cost<br>5<br>_On-demand_<br>_At maturity_<br>Loans and receivables due from customers at amortised cost<br>5<br>_Other loans to customers_<br>_Of which calibration of the reserve account_<br>Revaluation differences on interest rate-hedged portfolio<br>Current tax assets<br>Deferred tax assets<br>Accruals and other miscellaneous assets<br>7<br>_Accruals_<br>_Other assets_<br>Equity stakes in companies accounted for by the equity method<br>20<br>Fixed assets property, plant and equipment<br>8","1,529,779<br>863,504<br>666,274<br><br>3,868,930<br>4,739,783<br>(870,853)<br><br>2,586,028<br>3,341,422<br>(755,394)<br><br>3,434,606<br>2,273,869<br>1,160,737<br><br>4,031,971<br>3,148,432<br>883,539<br>53,009,695<br>53,772,227<br>(762,531)<br><br>12,637,006<br>13,303,340<br>(666,334)<br>_932,054_<br>_1,213,880_<br>_(281,826)_<br>_11,704,952_<br>_12,089,460_<br>_(384,508)_<br><br>40,372,689<br>40,468,886<br>(96,198)<br>_40,372,689_<br>_40,468,886_<br>_(96,198)_<br>_(1,047,780)_<br>_(930,187)_<br>_(117,592)_<br>14,045<br>45,209<br>(31,164)<br>8,398<br>5,966<br>2,432<br>27,419<br>27,513<br>(93)<br><br>3,466,979<br>2,907,962<br>559,017<br>_96,148_<br>_53,516_<br>_42,632_<br>_3,370,831_<br>_2,854,445_<br>_516,386_<br><br>158,014<br>160,320<br>(2,305)<br><br>902,952<br>858,161<br>44,791"
Intangible assets<br>8,"190,124<br>182,597<br>7,527"
**TOTAL ASSETS**,"**73,228,942**<br>**72,326,964**<br>**901,978**"
