_In thousands of euros_,**30 Jun 25**,**31 Dec 24**
**Commitments received**
Guarantee commitments received from the French State on loans<br>Guarantee commitments received from credit institutions<br>_as part of the Group's credit activity_,"5,510,425<br>209,459<br>_209,459_","5,084,284<br>431,456<br>_431,456_"
**Commitmentsgiven**
Financing commitments made to credit institutions<br>Financing commitments made to customers<br>Guarantee commitments made to credit institutions<br>Guarantee commitments made to customers,"2,353,248<br>17,086,962<br>382,523<br>1,078,867","2,588,677<br>16,758,075<br>452,268<br>1,058,367"
