_In thousands of euros_,**30 Jun 25**<br>**31 Dec 24**
Fixed-term subordinated debt<br>Open-ended subordinated debt<br>Other,"-<br>-<br>985,006<br>840,006<br>2,891<br>2,611"
**Total**,"**987,897**<br>**842,617**"
