Inthousandsofeuros,30Jun25 31Dec24,
,"%ofcontrol %ofcontrol
andvoteheld Shareof andvoteheld Shareof
by non- equity by non- equity
controlling Shareofnet (including controlling Shareofnet (including
interests income income) interests income income)",
"Proparco
Othersubsidiaries","1479% (6552) 185766
. , ,
889 5339
,","1479% 18868 195196
. , ,
265 4450
,"
Total non-controlling interests,"(5662) 191105
, ,","19133 199646
, ,"
TotalGroupshare,"154174 9531780
, , ,","343612 9422346
, , ,"
