Inthousandsofeuros,30Jun25 31Dec24,
Commitmentsreceived,,
"GuaranteecommitmentsreceivedfromtheFrenchStateonloans
Guaranteecommitmentsreceivedfromcreditinstitutions
aspartoftheGroup'screditactivity","5510425
, ,
209459
,
209459
,","5084284
, ,
431456
,
431456
,"
Commitmentsgiven,,
"Financingcommitmentsmadetocreditinstitutions
Financingcommitmentsmadetocustomers
Guaranteecommitmentsmadetocreditinstitutions
Guaranteecommitmentsmadetocustomers","2353248
, ,
17086962
, ,
382523
,
1078867
, ,","2588677
, ,
16758075
, ,
452268
,
1058367
, ,"
