_In thousands of euros_,**30 Jun 25**<br>**30 Jun 24**
**Income**<br>**Expenses**<br>**Net**<br>**Income**<br>**Expenses**<br>**Net**
Commissions on commitments<br>Monitoring and investment commissions<br>Analysis commissions<br>Commissions on grants and subsidies<br>Miscellaneous commissions,"-<br>(267)<br>(267)<br>-<br>-<br>-<br>4,963<br>(103)<br>4,860<br>2,308<br>(1,040)<br>4,584<br>14,312<br>-<br>14,312<br>7,861<br>-<br>7,861<br>46,846<br>-<br>46,846<br>39,217<br>-<br>39,217<br>1,051<br>(386)<br>664<br>3,432<br>(348)<br>(233)"
**Total**,"**67,171**<br>**(756)**<br>**66,415**<br>**52,817**<br>**(1,388)**<br>**51,429**"
