**30 Jun 25**<br>**31 Dec 24**
_In thousands of euros_<br>**Notes**,**Assets**<br>**Liabilities**<br>**Notional /**<br>**Outstandings**<br>**Assets**<br>**Liabilities**<br>**Notional /**<br>**Outstandings**
Interest rate derivatives<br>Foreign exchange derivatives<br>Hedging derivatives of non-SPPI loans/securities<br>Loans and securities that do not meet SPPI criteria<br>1.2<br>CVA/DVA/FVA,"3,226<br>27<br>890,207<br>2,261<br>53<br>147,610<br>217,075<br>84,382<br>4,276,423<br>5,653<br>418,280<br>4,818,727<br>60,327<br>10,602<br>761,726<br>25,886<br>63,044<br>986,768<br><br>3,588,266<br>-<br>3,356,313<br>4,705,926<br>-<br>4,616,075<br>36<br>258<br>-<br>57<br>246<br>-"
**Total**,"**3,868,930**<br>**95,270**<br>**9,284,669**<br>**4,739,783**<br>**481,623**<br>**10,569,179**"
