Inthousandsofeuros,"Notional/ Notional/
Notes 30Jun25 Outstandings 31Dec24 Outstandings",,
"Loans to credit institutions 1 .2 .1
Performingloans
Non-performing loans
Loans to customers 1 .2 .1
Performingloans
Non-performing loans
Securities
Bonds and other fixed -income securities 1 .2 .2
UCITS
Equity investments and other long-term securities 1 .2 .3
ofwhichequityinvestmentsheldininvestmentfunds
ofwhichequityinvestmentshelddirectlywithaputoption",,"422021 285486
, ,
421710 283439
, ,
312 2047
,
624617 626907
, ,
606148 562594
, ,
18469 64314
, ,
2541628 2443920
, , , ,
32132 43105
, ,
772431 698206
, ,
1737065 1702609
, , , ,
1522250 1320588
, , , ,
214815 382021
, ,","544978 555944
, ,
544647 553804
, ,
331 2141
,
607527 680228
, ,
586049 604611
, ,
21478 75617
, ,
3553421 3379902
, , , ,
36861 50442
, ,
1638364 1555111
, , , ,
1878196 1774349
, , , ,
1675903 1639106
, , , ,
202294 135243
, ,"
Total,,"3588266 3356313
, , , ,","4705926 4616075
, , , ,"
