Inthousandsofeuros 30Jun25 31Dec24,,
Debtstocreditinstitutionsatamortisedcost,,
"On-demand debts
Debtsatmaturity","21648
,
10561
,","9016
,
540"
Totaldebtstocreditinstitutions,"32210
,","9556
,"
Debtstocustomersatamortisedcost,"1592
,","2125
,"
Totaldebtstocustomers,"1592
,","2125
,"
Debtsecuritiesinissueatamortisedcost,,
"Interbankmarketsecurities
Bonds
Relateddebts
Valuationadjustmentsofdebtsecuritiesinissuehedgedbyderivatives","2012968
, ,
53806779
, ,
504451
,
(1961209)
, ,","809211
,
53970506
, ,
717494
,
(2031860)
, ,"
Totaldebtssecuritiesinissue,"54362989
, ,","53465351
, ,"
