Inthousandsofeuros 30Jun25 30Jun24,,
"Subsidies
Otherincome(1)","171885
,
246513
,","151344
,
260988
,"
Totalotherincomefromotheractivities,"418398
,","412332
,"
Otherexpenses(1),"(247064)
,","(202215)
,"
Totalotherexpensesfromotheractivities,"(247064)
,","(202215)
,"
"(1)OtherincomeandexpensesmainlyrelatetotheExpertiseFranceactivity
.",,
