,,30Jun25,,,,31Dec24,,
,,,Doubtful,,,,Doubtful,
,Performing,assets,assets,,Performing,assets,assets,
Inthousandsofeuros,Stage1,Stage2,Stage3,Total,Stage1,Stage2,Stage3,Total
Rating,,,,,,,,
"from AAA to BBB- (RC1 RC2)
,","2852640
, ,",-,-,"2852640
, ,","3043230
, ,",-,-,"3043230
, ,"
"from BB+ to CCC (RC3 RC4
, ,
RC5)","9076474
, ,","1906793
, ,","95000
,","11078266
, ,","9083472
, ,","1211653
, ,","95000
,","10390125
, ,"
Notapplicable(1),-,-,-,-,-,-,-,-
Doubtful(RC6),-,-,"525527
,","525527
,",-,-,"561681
,","561681
,"
Total,"11929113
, ,","1906793
, ,","620527
,","14456433
, ,","12126702
, ,","1211653
, ,","656681
,","13995036
, ,"
