Inthousandsofeuros,Stage1 Stage2 Stage3 Total,,
Totalprovisionsat31/12/2024,"202229 567010 1332578 2101816
, , , , , ,",,
"ofwhichProvisionsat31/12/2024Activity+Parameters+
ExceptionalProvisions
Newsignatures
Extinctexposures","100827 289606 495872 886305
, , , ,
9282 6408 15690
, , - ,
(2551) (2563) (3006) (8120)
, , , ,",,
"Changeinexposureorrating
Stagechange
Other(includingIFRSrestatements Sogefom)
,
IFRSrestatement","(10951) (22561) 44809 11297
, , , ,
(7019) 15861 984 9826
, , ,
299 9 (22557) (22249)
, ,
8447 8447
- - , ,",,
"Total change in operating provisions (10 ,940) (2 ,846)",,,"(13785)
,"
TotalchangeinIFRS9parameterupdates,"2900 729
,",-,"3630
,"
"Total change in provisions (FWL Ariz)
,","5201 3296
, ,",-,"8497
,"
"Provisionsat30/06/2025Activity+Parameters+Exceptional
Provisions","97988 290786 524549 913323
, , , ,",,
Calibrationofthereserveaccount,"92968 427041 861202 1381211
, , , , ,",,
Totalprovisionsat30/06/2025,"190956 717827 1385751 2294534
, , , , , ,",,
