_In thousands of euros_,**30 Jun 25**<br>**30 Jun 24**
**Impairments on performing (stage 1) or deteriorated (stage 2) assets**<br>**Stage 1: losses assessed at the amount of expected credit losses for the coming 12 months**<br>Debt securities recorded at amortised cost<br>Signature commitments<br>**Stage 2: losses assessed at the amount of expected credit losses for the lifetime**<br>Debt securities recorded at amortised cost<br>Signature commitments<br>**Impairments of impaired assets (stage 3)**<br>**Stage 3: impaired assets**<br>Debt securities recorded at amortised cost<br>Signature commitments<br>**Otherprovisions for risk**,"**3,049**<br>**50,254**<br>**4,217**<br>**(7,819)**<br>3,559<br>(5,590)<br>658<br>(2,228)<br>**(1,168)**<br>**58,072**<br>338<br>36,817<br>(1,506)<br>21,255<br>**(23,405)**<br>**(25,659)**<br>**(24,640)**<br>**(28,702)**<br>(28,199)<br>(27,250)<br>3,559<br>(1,452)<br>**1,235**<br>**3,043**"
**Net reversals of impairments andprovisions**,"**(20,356)**<br>**24,594**"
Losses on loans and bad loans<br>Discounts on restructured loans<br>Recoveryof loans and receivables,"(7,762)<br>(1,171)<br>153<br>176<br>511<br>-"
**Cost of risk**,"**(27,454)**<br>**23,599**"
