_In thousands of euros_,**30 Jun 25**,**31 Dec 24**
Dividends received on equity instruments recognised at fair value through equity<br>not to be recycled in profit or loss,"18,732","2,097"
Gains or losses on equity instruments recognised at fair value through equity not to
be recycled in profit or loss<br>,-,-
Gains or losses on debt securities recognised at fair value through equity to be<br>recycled in profit or loss,251,"27,214"
**Netgains or losses on financial assets recognised in other comprehensive income**,"**18,983**","**29,310**"
