Maturity,Currency,Nominalincurrency,EURequivalent
25/05/2036,EUR,"100000000
, ,","100000000
, ,"
02/03/2037,EUR,"150000000
, ,","150000000
, ,"
16/01/2030,USD,"100000000
, ,","92412901
, ,"
16/01/2030,USD,"100000000
, ,","91911765
, ,"
16/01/2030,USD,"60000000
, ,","54073540
, ,"
