**30 Jun 25**
**Current hedges**<br>**Expired hedges**<br>
_In thousands of euros_,**Carrying amounts**<br>**Of which accrued**<br>**remeasurements of**<br>**fair value hedges**<br>**Of which accrued**<br>**remeasurements of fair**<br>**value hedges remaining**<br>**Accrued**<br>**remeasurements of**<br>**fair value**<br>**Remeasurement of fair**<br>**value during the hedging**<br>**period (incl. hedges that**<br>**expired over theperiod)**
**Interest rate derivatives**<br>Loans and receivables due from credit institutions at amortised<br>cost<br>Loans and receivables due from customers at amortised cost<br>Financial assets at fair value through other comprehensive income<br>**Interest rate derivatives (currency swaps)**<br>Loans and receivables due from credit institutions at amortised<br>cost<br>Loans and receivables due from customers at amortised cost<br>Financial assets at fair value through other comprehensive income<br>**Other**,"**21,318,373**<br>**(1,397,652)**<br>**-**<br>**3,317**<br>**(161,795)**<br>978,566<br>(65,041)<br>-<br>(14)<br>1,442<br>18,083,789<br>(1,301,108)<br>-<br>1,941<br>(150,301)<br>2,256,019<br>(31,504)<br>-<br>1,390<br>(12,936)<br>**4,489,704**<br>**(372,709)**<br>**-**<br>**(2,889)**<br>**(462,836)**<br>535,148<br>(26,537)<br>-<br>(1,248)<br>(47,984)<br>3,954,556<br>(300,363)<br>-<br>(2,054)<br>(368,630)<br>-<br>(45,809)<br>-<br>413<br>(46,222)<br>**-**<br>**(47,513)**<br>**-**<br>**-**<br>**(47,513)**"
**Total fair value hedging of assets**,"**25,808,077**<br>**(1,817,873)**<br>**-**<br>**428**<br>**(672,144)**"
**Interest rate derivatives**<br>Debt securities in issue at amortised cost<br>**Interest rate derivatives (currency swaps)**<br>Debt securities in issue at amortised cost,"**(37,863,659)**<br>**2,003,126**<br>**(17,188)**<br>**5,068**<br>**96,616**<br>(37,863,659)<br>2,003,126<br>(17,188)<br>5,068<br>96,616<br>**(12,518,258)**<br>**842,547**<br>**-**<br>**(190,329)**<br>**1,552,821**<br>(12,518,258)<br>842,547<br>-<br>(190,329)<br>1,552,821"
**Total fair value hedging of liabilities**,"**(50,381,917)**<br>**2,845,673**<br>**(17,188)**<br>**(185,260)**<br>**1,649,437**"
