,30Jun25 31Dec24,,
In thousands of euros Notes On-demand At maturity On-demand At maturity,,,
"Debtsecurities 51
.
Loansandreceivablesduefromcreditinstitutions 52
.
Loansandreceivablesduefromcustomers 52
.",,"4031971
, ,
932054 11704952
, , ,
40372689
, ,","3148432
- , ,
1213880 12089460
, , , ,
40468886
- , ,"
Total,,"932054 56109612
, , ,","1213880 55706778
, , , ,"
