**30 Jun 25**,**31 Dec 24**
_In thousands of euros_,**Notes**,**On-demand**<br>**At maturity**,**On-demand**<br>**At maturity**
Debt securities<br>Loans and receivables due from credit institutions<br>Loans and receivables due from customers,"5.1<br>4,031,971<br>5.2<br>932,054<br>11,704,952<br>5.2<br>40,372,689",,"-<br>3,148,432<br>1,213,880<br>12,089,460<br>-<br>40,468,886"
**Total**,"**932,054**<br>**56,109,612**",,"**1,213,880**<br>**55,706,778**"
