,"Fixed assets property, plant and equipment",,
"Land& Buildings& Intangible
Inthousandsofeuros development development Other assets 30Jun25 31Dec24",,,
Grossvalue,,,
"At 1 January 89 ,601 901 ,428 93 ,509 335 ,400
Purchases - 57 ,578 7 ,887 51 ,170
Disposals/retirements (193) (3 ,766) (21 ,331)
-
Other items - (50) 402 (6 ,271)
At the end of the period 89 ,601 958 ,763 98 ,032 358 ,968",,"1419939
, ,
116634
,
(25290)
,
(5919)
,
1505364
, ,","1097945
, ,
363599
,
(44202)
,
2597
,
1419939
, ,"
Depreciation/amortisation,,,
"At 1 January (4 ,259) (185 ,185) (72 ,033) (152 ,803)
Provisions (66) (4 ,879) (2 ,993) (16 ,069)
Reversals - - 481 29
Other items - - - -
At the end of the period (4 ,325) (190 ,064) (74 ,545) (168 ,843)",,"(414280)
,
(24007)
,
510
-
(437777)
,","(368841)
,
(49224)
,
3785
,
-
(414280)
,"
"Net value 85 ,277 768 ,699 23 ,487 190 ,124",,"1067587
, ,","1005659
, ,"
