,,30 Jun 25,,31 Dec 24
---------------------------------------------------------------------------------------------,---------------------,--------------------------------------------,---------------------,--------------------------------------------
In thousands of euros,Carrying<br>amounts,Change in fair<br>value over the<br>period,Carrying<br>amounts,Change in fair<br>value over the<br>period
Debt securities recognised at fair value through equity<br>to be recycled in profit or loss,"2,622,660","51,527","1,422,216","(25,336)"
Government paper and equivalent,"1,989,453","3,392","1,144,909","(18,164)"
Bonds and other securities,"633,207","48,135","277,307","(7,172)"
Equity instruments recorded at fair value through<br>equity,"811,946","(51,626)","851,653","21,194"
Unconsolidated equity investments,"811,946","(51,626)","851,653","21,194"
Total,"3,434,606",(99),"2,273,869","(4,142)"
