In thousands of euros,30 Jun 25,30 Jun 24
--------------------------------------------,-----------,-----------
Salary and employee benefit expenses,,
Wages and bonuses,"(147,435)","(127,943)"
Social security expenses,"(60,309)","(55,818)"
Profit sharing,"(7,119)","(7,333)"
Taxes and similar payments on compensation,"(13,851)","(17,152)"
Provisions/reversal of provisions,"1,559",17
Rebilling banks' staff,,95
Total,"(227,156)","(208,134)"
