($ in millions),Total
---------------,--------
2026,"$ 6,425"
2027,"$ 6,753"
2028,"$ 5,172"
2029,"$ 5,095"
2030,"$ 4,492"
Thereafter,"$ 34,348"
Total,"$ 62,286"
