Revenue,"$ 25,011","$ 20,884","$ 14,593",$ 741,"$ 61,229"
------------------------------,--------,--------,--------,-----,--------
Segment cost,"4,289","15,297","6,406",384,"26,376"
Other expense and (income) (2),"13,222","3,458","5,359",(16),"22,023"
Segment profit,"7,499","2,130","2,828",373,"12,829"
