In thousands of euros,30 Jun 25  30 Jun 24
Other administrative expenses,
Taxes,"(12,479) (11,192)"
"of which application of IFRIC 21 (6,285) (4,736)",
"Outside services (73,397) (77,468)",
"Rebilled expenses (1,466) 697",
Total,"(87,341) (87,964)"
