Maturity Currency Nominal in currency,EUR equivalent
"27/02/2040 AUD 40,000,000 24,345,709",
"15/07/2026 TRY 1,500,000,000 40,760,870",
"06/03/2028 TRY 1,500,000,000 39,215,686",
