In thousands of euros,30 Jun 25.Performing assets.Total,30 Jun 25.Performing assets.Stage 1 Stage 2 Stage 3,31 Dec 24.Performing assets.Total,31 Dec 24.Performing assets.Stage 1 Stage 2 Stage 3,31 Dec 24..,31 Dec 24..
Rating,,,,,,
"from AAA to BBB- (Investment) 6,187,054 -",,-,"6,187,054 4,069,852 - - 4,069,852",,,
"from BB+ to CCC (Speculative) 573,384 5,748 -",,,"579,131 557,170 6,785 - 563,955",,,
Not applicable  (1),- -  -,-,,- - - -,,
Doubtful -,,-,,558 558 - - 950 950,,
,"Total 6,760,437 5,748 558 6,766,743 4,627,021 6,785 950 4,634,757",,,,,
