Financial Assets(IAS32),Cashflow characteristics,Management model,Asset classification,
Debtsecurities,SPPI (SolelyPaymentof Principal and Interest),Collectionofcontractual flowsandsales,Collectionofcontractualflows,Amortisedcost Fairvaluethroughother comprehensiveincomewith subsequentrecycling
Non-basic debtinstruments andderivatives,Non-SPPI,,Allmanagementmodels,FairvaluethroughP&L
Equity securities,Non-SPPI,Allmanagementmodels,,Fairvalueor irrevocableoption Fairvaluethroughother comprehensiveincomenottobe recycledinprofit orloss
