In thousands of euros,30 Jun 25.Performing assets.Stage 1,30 Jun 25.Performing assets.Stage 2,30 Jun 25.assets.Stage 3,30 Jun 25..Total,31 Dec 24.Performing assets.Stage 1,31 Dec 24.Performing assets.Stage 2,31 Dec 24.assets.Stage 3,31 Dec 24..Total
Rating,,,,,,,,
from AAA to BBB- (Investment),"9,092",-,-,"9,092","10,651",-,-,"10,651"
from BB+ to CCC (Speculative),"850,645","500,696",-,"1,351,341","898,548","497,095",-,"1,395,643"
Not applicable,-,-,-,-,-,-,-,-
Doubtful,-,-,"59,420","59,420",-,-,"61,290","61,290"
Total,"859,737","500,696","59,420","1,419,853","909,199","497,095","61,290","1,467,584"
