In thousands of euros,30 Jun 25,31 Dec 24
Dividends received on equity instruments recognised at fair value through equity not to be recycled in profit or loss,"18,732","2,097"
Gains or losses on equity instruments recognised at fair value through equity not to be recycled in profit or loss,-,-
Gains or losses on debt securities recognised at fair value through equity to be recycled in profit or loss,251,"27,214"
Net gains or losses on financial assets recognised in other comprehensive income,"18,983","29,310"
