In thousands of euros,30 Jun 25.Performing assets.Stage 1,30 Jun 25.Performing assets.Stage 2,30 Jun 25.assets.Stage 3,30 Jun 25..Total,31 Dec 24.Performing assets.Stage 1,31 Dec 24.Performing assets.Stage 2,31 Dec 24.assets.Stage 3,31 Dec 24..Total
Rating,,,,,,,,
from AAA to BBB- (Investment),"6,187,054",-,-,"6,187,054","4,069,852",-,-,"4,069,852"
from BB+ to CCC (Speculative),"573,384","5,748",-,"579,131","557,170","6,785",-,"563,955"
Not applicable (1),-,-,-,-,-,-,-,-
Doubtful,-,-,558,558,-,-,950,950
Total,"6,760,437","5,748",558,"6,766,743","4,627,021","6,785",950,"4,634,757"
