In thousands of euros,30 Jun 25 30 Jun 24,
"Impairments on performing (stage 1) or deteriorated (stage 2) assets
Stage 1: losses assessed at the amount of expected credit losses for the coming 12 months
Debt securities recorded at amortised cost
Signature commitments
Stage 2: losses assessed at the amount of expected credit losses for the lifetime
Debt securities recorded at amortised cost
Signature commitments
Impairments of impaired assets (stage 3)
Stage 3: impaired assets
Debt securities recorded at amortised cost
Signature commitments
Other provisions for risk","3,049
4,217
3,559
658
(1,168)
338
(1,506)
(23,405)
(24,640)
(28,199)
3,559
1,235","50,254
(7,819)
(5,590)
(2,228)
58,072
36,817
21,255
(25,659)
(28,702)
(27,250)
(1,452)
3,043"
Net reversals of impairments and provisions,"(20,356)","24,594"
"Losses on loans and bad loans
Discounts on restructured loans
Recovery of loans and receivables","(7,762)
153
511","(1,171)
176
-"
Cost of risk,"(27,454)","23,599"
