In thousands of euros,30 Jun 25 30 Jun 24,
,Income Expenses Net Income Expenses Net,
"Commissions on commitments
Monitoring and investment commissions
Analysis commissions
Commissions on grants and subsidies
Miscellaneous commissions","- (267) (267)
4,963 (103) 4,860
14,312 - 14,312
46,846 - 46,846
1,051 (386) 664","- - -
2,308 (1,040) 4,584
7,861 - 7,861
39,217 - 39,217
3,432 (348) (233)"
Total,"67,171 (756) 66,415","52,817 (1,388) 51,429"
