In thousands of euros 30 Jun 25 30 Jun 24,,
"Subsidies
Other income (1)","171,885
246,513","151,344
260,988"
Total other income from other activities,"418,398","412,332"
Other expenses (1),"(247,064)","(202,215)"
Total other expenses from other activities,"(247,064)","(202,215)"
(1) Other income and expenses mainly relate to the Expertise France activity.,,
