30 Jun 25 31 Dec 24,,
In thousands of euros,Assets Liabilities Assets Liabilities,
"Guarantees against collateral
Allocated public funds
Other assets and liabilities
Accounts payable, French State","2,198,579 395,291
94,813
1,268,401 2,193,374
360,946","1,651,850 468,011
- 87,110
1,256,112 2,303,476
- 471,697"
Total accruals and other miscellaneous assets/liabilities,"3,466,979 3,044,424","2,907,962 3,330,294"
