In thousands of euros,30 Jun 25 31 Dec 24,
Commitments received,,
"Guarantee commitments received from the French State on loans
Guarantee commitments received from credit institutions
as part of the Group's credit activity","5,510,425
209,459
209,459","5,084,284
431,456
431,456"
Commitments given,,
"Financing commitments made to credit institutions
Financing commitments made to customers
Guarantee commitments made to credit institutions
Guarantee commitments made to customers","2,353,248
17,086,962
382,523
1,078,867","2,588,677
16,758,075
452,268
1,058,367"
