In thousands of euros,"Notional / Notional /
Notes 30 Jun 25 Outstandings 31 Dec 24 Outstandings",,
"Loans to credit institutions 1.2.1
Performing loans
Non-performing loans
Loans to customers 1.2.1
Performing loans
Non-performing loans
Securities
Bonds and other fixed-income securities 1.2.2
UC ITS
Equity investments and other long-term securities 1.2.3
of which equity investments held in investment funds
of which equity investments held directly with a put option",,"422,021 285,486
421,710 283,439
312 2,047
624,617 626,907
606,148 562,594
18,469 64,314
2,541,628 2,443,920
32,132 43,105
772,431 698,206
1,737,065 1,702,609
1,522,250 1,320,588
214,815 382,021","544,978 555,944
544,647 553,804
331 2,141
607,527 680,228
586,049 604,611
21,478 75,617
3,553,421 3,379,902
36,861 50,442
1,638,364 1,555,111
1,878,196 1,774,349
1,675,903 1,639,106
202,294 135,243"
Total,,"3,588,266 3,356,313","4,705,926 4,616,075"
