In thousands of euros 30 Jun 25 30 Jun 24 31 Dec 24,,
Net income,"148,511","236,284 362,745"
"Net gains and losses directly recognised in other comprehensive income to be recycled in profit or loss:
Net gains or losses on debt securities recognised in other comprehensive income to be recycled in profit or loss
Net gains and losses directly recognised in other comprehensive income not to be recycled in profit or loss:
Actuarial gains and losses on retirement benefits
Net gains and losses on equity instruments recognised in other comprehensive income not to be recycled in profit or loss
Total gains and losses recognised directly in other comprehensive income","51,527
51,527
(40,968)
10,658
(51,626)
10,559","(12,733) (25,336)
(12,733) (25,336)
(5,448) 29,584
- 8,389
(5,448) 21,194
(18,181) 4,247"
Net income and gains and losses recognised directly in other comprehensive income,"159,071","218,103 366,992"
"of which Group share
of which non-controlling interests","171,749
(12,678)","211,409 343,485
6,694 23,507"
