in thousands of euros,Rate of 3.60%,Rate of 4%,Difference (€) Difference (%)
"IFC (retirement bonus) mechanism 18,791
Service award mechanism 1,328
Retiree health insurance mechanism 111,612
Expatriate employees healthcare
15,019
expenses mechanism",,"17,935
1,292
103,080
13,748","(856) (5%)
(36) (3%)
(8,531) (8%)
(1,271) (9%)"
"Total 146,749",,"136,055","(10,694) (7%)"
