In thousands of euros,30 Jun 25 31 Dec 24,
,"Net income Net income
(Income of hedge accounting) (Income of hedge accounting)",
,"Change in fair Change in fair
value of Change in fair Ineffective value of Change in fair Ineffective
hedging value of hedged portion of hedging value of hedged portion of
instruments items hedge instruments items hedge",
"Interest rate derivatives
Interest rate and foreign exchange derivatives (cross-currency
swaps)
Other","75,531 (65,179) 10,352
(1,015,985) 1,089,985 74,000
- (47,513) (47,513)","434,754 (409,247) 25,507
731,803 (728,723) 3,080
- - -"
Total,"(940,454) 977,293 36,840","1,166,557 (1,137,970) 28,587"
