"Registered
In thousands of euros office Offices 30 Jun 25 31 Dec 24",,
Gross value,,
"At 1 January 110,489 16,592
New contract - -
Modification of contract - -
Other items (690) -
At the end of the period 109,799 16,592","127,081
-
-
(690)
126,391","113,468
-
-
13,613
127,081"
"Depreciation/amortisation (87,303) (13,599)","(100,902)","(91,982)"
"Net value 22,496 2,993","25,489","35,099"
