In thousands of euros Notes 30 Jun 25 30 Jun 24 Change,,
"Interest and related income 13
Transactions with credit institutions
Transactions with customers
Bonds and other fixed-income securities
Other interest and related income
Interest and related expenses 13
Transactions with credit institutions
Transactions with customers
Bonds and other fixed-income securities
Other interest and related expenses
Commissions (income) 14
Commissions (expenses) 14
Net gains or losses on financial instruments at fair value
15
through profit or loss, net of foreign currency impact
Net gains or losses on financial assets recognised at fair value through other
16
comprehensive income
Income from other activities 17
Expenses on other activities 17
NET BANKING INCOME","2,257,072
885,543
622,154
99,391
649,984
(2,028,870)
(541,292)
(310)
(609,197)
(878,072)
67,171
(756)
47,854
18,983
418,398
(247,064)
532,787","2,518,970 (261,899)
1,141,278 (255,736)
663,732 (41,578)
98,890 501
615,070 34,914
(2,256,990) 228,119
(572,225) 30,933
(220) (90)
(548,090) (61,108)
(1,136,455) 258,383
52,817 14,354
(1,388) 632
(15,276) 63,130
29,310 (10,327)
412,332 6,066
(202,215) (44,849)
537,561 (4,773)"
"Overheads 18
Salary and employee benefit expenses
Other administrative expenses
Provisions for amortisation of intangible assets and depreciation of property, plant
8
and equipment
GROSS OPERATING INCOME","(314,497)
(227,156)
(87,341)
(32,842)
185,448","(296,098) (18,400)
(208,134) (19,022)
(87,964) 622
(28,705) (4,137)
212,758 (27,310)"
"Cost of credit risk 19
OPERATING INCOME","(27,454)
157,994","23,599 (51,053)
236,357 (78,363)"
"Share of earnings from companies accounted for by the equity method 20
Net gains or losses on other assets
PRE-TAX INCOME","(842)
(767)
156,385","445 (1,287)
135 (902)
236,937 (80,552)"
Corporate tax 21,"(7,874)","(653) (7,221)"
NET INCOME,"148,511","236,284 (87,773)"
Non-controlling interests,"(5,662)","5,289 (10,952)"
NET INCOME - GROUP SHARE,"154,174","230,995 (76,821)"
