In thousands of euros,30 Jun 25 31 Dec 24,
,"Change in fair Change in fair
Carrying value over the Carrying value over the
amounts period amounts period",
"Debt securities recognised at fair value through equity
to be recycled in profit or loss
Government paper and equivalent
Bonds and other securities
Equity instruments recorded at fair value through
equity
Unconsolidated equity investments","2,622,660 51,527
1,989,453 3,392
633,207 48,135
811,946 (51,626)
811,946 (51,626)","1,422,216 (25,336)
1,144,909 (18,164)
277,307 (7,172)
851,653 21,194
851,653 21,194"
Total,"3,434,606 (99)","2,273,869 (4,142)"
