Non-sovereign,,
,30 Jun 25 31 Dec 24,
,"Doubtful Doubtful
Performing assets assets Performing assets assets",
In thousands of euros Stage 1 Stage 2 Stage 3 Total Stage 1 Stage 2 Stage 3 Total,,
Rating,,
"from AAA to BBB- (Investment)
from BB+ to CCC (Speculative)
Not applicable (1)
Doubtful","1,624,348 6,000 - 1,630,348
2,799,608 207,718 - 3,007,326
112,408 - - 112,408
- - 117,870 117,870","1,490,465 2,200 - 1,492,665
3,000,747 256,824 - 3,257,571
112,408 - - 112,408
- - 136,723 136,723"
Total,"4,536,363 213,718 117,870 4,867,951","4,603,620 259,024 136,723 4,999,367"
"(1) Unused assets relate to budgets granted pending allocation to a final beneficiary.
Sovereign",,
,30 Jun 25 31 Dec 24,
,"Doubtful Doubtful
Performing assets assets Performing assets assets",
In thousands of euros Stage 1 Stage 2 Stage 3 Total Stage 1 Stage 2 Stage 3 Total,,
Rating,,
"from AAA to BBB- (RC1, RC2)
from BB+ to CCC (RC3, RC4,
RC5)
Not applicable (1)
Doubtful (RC6)","2,852,640 - - 2,852,640
9,076,474 1,906,793 95,000 11,078,266
- - - -
- - 525,527 525,527","3,043,230 - - 3,043,230
9,083,472 1,211,653 95,000 10,390,125
- - - -
- - 561,681 561,681"
Total,"11,929,113 1,906,793 620,527 14,456,433","12,126,702 1,211,653 656,681 13,995,036"
(1) Unused assets relate to budgets granted pending allocation to a final beneficiary.,,
