In thousands of euros,30 Jun 25 30 Jun 24,
Salary and employee benefit expenses,,
"Wages and bonuses
Social security expenses
Profit sharing
Taxes and similar payments on compensation
Provisions/reversal of provisions
Rebilling banks’ staff","(147,435)
(60,309)
(7,119)
(13,851)
1,559","(127,943)
(55,818)
(7,333)
(17,152)
17
95"
Total,"(227,156)","(208,134)"
