,30 Jun 25 31 Dec 24 30 Jun 24,,,,
"Balance Balance Balance
Impact (in thousands of euros) sheet Income sheet Income sheet Income",,,,,
"SIC
Socredo","30,680 (3,449)
127,335 2,607","34,643
125,677","(6,112)
4,742","38,071
124,065","(2,685)
3,129"
Total,"158,014 (842)","160,320","(1,370)","162,135",445
