,,30 Jun 25 31 Dec 24,
In thousands of euros,"Notional / Notional /
Notes Assets Liabilities Outstandings Assets Liabilities Outstandings",,
"Interest rate derivatives
Foreign exchange derivatives
Hedging derivatives of non-SPPI loans/securities
Loans and securities that do not meet SPPI criteria 1.2
CVA/DVA/FVA",,"3,226 27 890,207
217,075 84,382 4,276,423
60,327 10,602 761,726
3,588,266 - 3,356,313
36 258 -","2,261 53 147,610
5,653 418,280 4,818,727
25,886 63,044 986,768
4,705,926 - 4,616,075
57 246 -"
Total,,"3,868,930 95,270 9,284,669","4,739,783 481,623 10,569,179"
