,30 Jun 25 31 Dec 24,
In thousands of euros On-demand At maturity On-demand At maturity,,
"Loans to credit institutions at amortised cost
Performing loans
Non-performing loans
Impairment
Related loans receivable","- 9,185,950
- 9,037,994
- 147,956
- (122,965)
- 67,338","- 9,375,959
- 9,213,297
- 162,662
- (146,998)
- 82,990"
"Valuation adjustments of loans hedged by forward
financial instruments","- (53,889)","- (83,973)"
Subtotal,"- 9,076,434","- 9,227,978"
"Loans to customers at amortised cost
Performing loans
Non-performing loans
Impairment
Related loans receivable
Valuation adjustments of loans hedged by forward
financial instruments","- 43,414,906
- 40,609,416
- 2,805,490
- (1,753,467)
- 162,581
- (1,451,331)","- 43,367,624
- 40,456,346
- 2,911,278
- (1,580,876)
- 164,133
- (1,481,994)"
Subtotal,"- 40,372,689","- 40,468,886"
Total loans,"- 49,449,123","- 49,696,865"
"Other receivables
Deposits (available cash) at credit institutions
Related loans receivable
Total other receivables","- -
932,054 2,590,864
- 37,653
932,054 2,628,517","- -
1,213,880 2,828,875
- 32,606
1,213,880 2,861,482"
Total loans and other receivables,"932,054 52,077,641","1,213,880 52,558,346"
